 CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,40,50,0,0,1236,0,200
2,45,68,10,912,967,90,
3,45,70,30,825,870,90,
4,42,66,10,65,146,90,
5,42,68,10,727,782,90,
6,42,65,10,15,67,90,
7,40,69,20,621,702,90,
8,40,66,20,170,225,90,
9,38,68,20,255,324,90,
10,38,70,10,534,605,90,
11,35,66,10,357,410,90,
12,35,69,10,448,505,90,
13,25,85,20,652,721,90,
14,22,75,30,30,92,90,
15,22,85,10,567,620,90,
16,20,80,40,384,429,90,
17,20,85,40,475,528,90,
18,18,75,20,99,148,90,
19,15,75,20,179,254,90,
20,15,80,10,278,345,90,
21,30,50,10,10,73,90,
22,30,52,20,914,965,90,
23,28,52,20,812,883,90,
24,28,55,10,732,777,90,
25,25,50,10,65,144,90,
26,25,52,40,169,224,90,
27,25,55,10,622,701,90,
28,23,52,10,261,316,90,
29,23,55,20,546,593,90,
30,20,50,10,358,405,90,
31,20,55,10,449,504,90,
32,10,35,20,200,237,90,
33,10,40,30,31,100,90,
34,8,40,40,87,158,90,
35,8,45,20,751,816,90,
36,5,35,10,283,344,90,
37,5,45,10,665,716,90,
38,2,40,20,383,434,90,
39,0,40,30,479,522,90,
40,0,45,20,567,624,90,
41,35,30,10,264,321,90,
42,35,32,10,166,235,90,
43,33,32,20,68,149,90,
44,33,35,10,16,80,90,
45,32,30,10,359,412,90,
46,30,30,10,541,600,90,
47,30,32,30,448,509,90,
48,30,35,10,1054,1127,90,
49,28,30,10,632,693,90,
50,28,35,10,1001,1066,90,
51,26,32,10,815,880,90,
52,25,30,10,725,786,90,
53,25,35,10,912,969,90,
54,44,5,20,286,347,90,
55,42,10,40,186,257,90,
56,42,15,10,95,158,90,
57,40,5,30,385,436,90,
58,40,15,40,35,87,90,
59,38,5,30,471,534,90,
60,38,15,10,651,740,90,
61,35,5,20,562,629,90,
62,50,30,10,531,610,90,
63,50,35,20,262,317,90,
64,50,40,50,171,218,90,
65,48,30,10,632,693,90,
66,48,40,10,76,129,90,
67,47,35,10,826,875,90,
68,47,40,10,12,77,90,
69,45,30,10,734,777,90,
70,45,35,10,916,969,90,
71,95,30,30,387,456,90,
72,95,35,20,293,360,90,
73,53,30,10,450,505,90,
74,92,30,10,478,551,90,
75,53,35,50,353,412,90,
76,45,65,20,997,1068,90,
77,90,35,10,203,260,90,
78,88,30,10,574,643,90,
79,88,35,20,109,170,90,
80,87,30,10,668,731,90,
81,85,25,10,769,820,90,
82,85,35,30,47,124,90,
83,75,55,20,369,420,90,
84,72,55,10,265,338,90,
85,70,58,20,458,523,90,
86,68,60,30,555,612,90,
87,66,55,10,173,238,90,
88,65,55,20,85,144,90,
89,65,60,30,645,708,90,
90,63,58,10,737,802,90,
91,60,55,10,20,84,90,
92,60,60,10,836,889,90,
93,67,85,20,368,441,90,
94,65,85,40,475,518,90,
95,65,82,10,285,336,90,
96,62,80,30,196,239,90,
97,60,80,10,95,156,90,
98,60,85,30,561,622,90,
99,58,75,20,30,84,90,
100,55,80,10,743,820,90,
101,55,85,20,647,726,90,
